,Title,Author,ISBN Valid,Publisher,Subjects,i,titles_cleaned,subjects_cleaned,authors_cleaned,concepts
780,Ne réveille pas les enfants /,"Chemin, Ariane 1962-....",9782364684805; 2364684803,Éditions du sous sol,"Suicide collectif--Montreux (Suisse, VD)--2000-....; Journalisme d'enquête",780,Ne réveille pas les enfants,suicide collectif--montreux suisse vd--- journalisme denquête,chemin ariane -,Ne réveille pas les enfants chemin ariane - suicide collectif--montreux suisse vd--- journalisme denquête
781,Le Pas de la Demi-Lune : roman /,"Bosc, David",9782378561345; 2378561342,Verdier,,781,Le Pas de la Demi-Lune : roman,,bosc david,Le Pas de la Demi-Lune : roman bosc david 
782,Dans la ville provisoire /,"Pellegrino, Bruno",9782889278763; 288927876X,Zoé,Littérature suisse; Roman,782,Dans la ville provisoire,littérature suisse roman,pellegrino bruno,Dans la ville provisoire pellegrino bruno littérature suisse roman
783,Hors saison : roman /,"Mulciba, Basile 19..-....",9782073005878; 207300587X,Gallimard,Roman,783,Hors saison : roman,roman,mulciba basile -,Hors saison : roman mulciba basile - roman
784,Le don du mensonge /,"Leon, Donna, 1942-",9782702185872; 2702185878,Calmann-Lévy,Roman policier,784,Le don du mensonge,roman policier,leon donna -,Le don du mensonge leon donna - roman policier
785,Par-delà l'oubli : roman /,"Cressely, Aurélien, 1988-",9782073026989; 2073026982,Gallimard,,785,Par-delà l'oubli : roman,,cressely aurélien -,Par-delà l'oubli : roman cressely aurélien - 
786,La ville introuvable : Wencheng /,"Yu, Hua, 1960-",9782330181697; 2330181698,Actes Sud,,786,La ville introuvable : Wencheng,,yu hua -,La ville introuvable : Wencheng yu hua - 
787,Ce que je sais de toi : roman /,"Chacour, Éric 1983-....",9782384820344; 2384820346,Philippe Rey,Roman,787,Ce que je sais de toi : roman,roman,chacour éric -,Ce que je sais de toi : roman chacour éric - roman
788,"Proust, roman familial /","Murat, Laure",9782221271308; 2221271300,Robert Laffont,"Proust, Marcel.--""A la recherche du temps perdu""--Sociologie; Proust, Marcel--Critique et interprétation",788,"Proust, roman familial",proust marcel--a recherche temps perdu--sociologie marcel--critique interprétation,murat laure,"Proust, roman familial murat laure proust marcel--a recherche temps perdu--sociologie marcel--critique interprétation"
789,Suite inoubliable : roman /,"Mizubayashi, Akira",9782073032119; 2073032117,Gallimard,Musique; Roman japonais,789,Suite inoubliable : roman,musique roman japonais,mizubayashi akira,Suite inoubliable : roman mizubayashi akira musique roman japonais
790,Le grand feu : roman /,"Récondo, Léonor de, 1976-",9782246834793; 2246834791,Bernard Grasset,,790,Le grand feu : roman,,récondo léonor -,Le grand feu : roman récondo léonor - 
791,Les Chats noirs de Gallipoli : roman /,"Koutaïssoff, Laurent",9782882414748; 2882414749,Bernard Campiche Editeur,Relations humaines; Roman; Littérature suisse,791,Les Chats noirs de Gallipoli : roman,relations humaines roman littérature suisse,koutaïssoff laurent,Les Chats noirs de Gallipoli : roman koutaïssoff laurent relations humaines roman littérature suisse
792,La nourrice de Francis Bacon : roman /,"Besserie, Maylis",9782073026064; 2073026060,Gallimard,,792,La nourrice de Francis Bacon : roman,,besserie maylis,La nourrice de Francis Bacon : roman besserie maylis 
793,Ma reine : [roman} /,"Andrea, Jean-Baptiste",9.7911E+12,L'Iconoclaste,,793,Ma reine : [roman},,andrea jean-baptiste,Ma reine : [roman} andrea jean-baptiste 
794,Veiller sur elle /,"Andrea, Jean-Baptiste",9782378803759; 2378803753,L'Iconoclaste,Roman,794,Veiller sur elle,roman,andrea jean-baptiste,Veiller sur elle andrea jean-baptiste roman
795,La sentence : roman /,"Erdrich, Louise, 1954-",9782226474902; 2226474900,Albin Michel,Roman fantastique; Roman américain; Racisme; Prisons; Fantômes,795,La sentence : roman,roman fantastique américain racisme prisons fantômes,erdrich louise -,La sentence : roman erdrich louise - roman fantastique américain racisme prisons fantômes
796,Trust /,"Díaz, Hernán 1973-....",9782823617887; 2823617884,Éditions de l'Olivier,Roman,796,Trust,roman,díaz hernán -,Trust díaz hernán - roman
797,Une façon d'aimer : roman /,"Barbéris, Dominique",9782073032362; 2073032362,Gallimard,,797,Une façon d'aimer : roman,,barbéris dominique,Une façon d'aimer : roman barbéris dominique 
798,Percy Jackson et les Olympiens /,"Riordan, Rick",9782226207180; 222620718X; 9782226491268; 2226491260; 9782226207197; 2226207198; 9782226491275; 2226491279; 9782226207203; 2226207201; 9782226491282; 2226491287; 9782226195449; 2226195440; 9782226491299; 2226491295; 9782226209528; 2226209522; 978222649130,Albin Michel jeunesse,Roman fantastique; Ouvrages pour la jeunesse,798,Percy Jackson et les Olympiens,roman fantastique ouvrages jeunesse,riordan rick,Percy Jackson et les Olympiens riordan rick roman fantastique ouvrages jeunesse
799,Le gardien de Téhéran /,"Perez, Stéphanie 1973-....",9782259315470; 225931547X,Plon,,799,Le gardien de Téhéran,,perez stéphanie -,Le gardien de Téhéran perez stéphanie - 
800,Le rendez-vous de Thessalonique : roman /,"Verdan, Nicolas",2882411537; 9782882411532,B Campiche,,800,Le rendez-vous de Thessalonique : roman,,verdan nicolas,Le rendez-vous de Thessalonique : roman verdan nicolas 
801,"Les naufragés du Wager : une histoire de naufrage, de mutinerie et de meurtres /","Grann, David",9782364684119; 2364684110,Editions du sous-sol,Roman historique américain,801,"Les naufragés du Wager : une histoire de naufrage, de mutinerie et de meurtres",roman historique américain,grann david,"Les naufragés du Wager : une histoire de naufrage, de mutinerie et de meurtres grann david roman historique américain"
802,La fin des nuages : manifeste poétique/,"Simonet, Mathieu",9782260055631; 226005563X,Julliard,,802,La fin des nuages : manifeste poétiqu,,simonet mathieu,La fin des nuages : manifeste poétiqu simonet mathieu 
803,Âme brisée : roman /,"Mizubayashi, Akira",9782072840487; 2072840481,Gallimard,,803,Âme brisée : roman,,mizubayashi akira,Âme brisée : roman mizubayashi akira 
804,Déplacer la lune de son orbite /,"Marcolongo, Andrea",9782234093751; 2234093759,Stock,,804,Déplacer la lune de son orbite,,marcolongo andrea,Déplacer la lune de son orbite marcolongo andrea 
805,Tombola /,"Gindre, Jérémie",9782889072804; 2889072800,Zoé,,805,Tombola,,gindre jérémie,Tombola gindre jérémie 
806,La danseuse : roman /,"Modiano, Patrick",9782073036742; 2073036740,Gallimard,Roman français; Danse classique,806,La danseuse : roman,roman français danse classique,modiano patrick,La danseuse : roman modiano patrick roman français danse classique
807,Le bonnet rouge /,"Roulet, Daniel de 1944-....",9782889550807; 288955080X,Héros-limite,Roman historique; Mercenaires suisses--France--18e siècle; Bonnet phrygien,807,Le bonnet rouge,roman historique mercenaires suisses--france--e siècle bonnet phrygien,roulet daniel -,Le bonnet rouge roulet daniel - roman historique mercenaires suisses--france--e siècle bonnet phrygien
808,La chambre claire : note sur la photographie /,"Barthes, Roland, 1915-1980",,Seuil; Gallimard,photographie--* esthétique; image--* sémiologie,808,La chambre claire : note sur la photographie,photographie-- esthétique image-- sémiologie,barthes roland -,La chambre claire : note sur la photographie barthes roland - photographie-- esthétique image-- sémiologie
809,Les chutes : roman /,"Oates, Joyce Carol, 1938-",2848760346; 9782848760346,P Rey,,809,Les chutes : roman,,oates joyce carol -,Les chutes : roman oates joyce carol - 
810,"Bacon, juillet 1964 /","Sebhan, Gilles",9782812624674; 2812624671,Editions du Rouergue,"Bacon, Francis--(peintre); Roman biographique",810,"Bacon, juillet 1964",bacon francis--peintre roman biographique,sebhan gilles,"Bacon, juillet 1964 sebhan gilles bacon francis--peintre roman biographique"
811,La maison /,"Gracq, Julien, 1910-2007",2714313019; 9782714313010,Editions Corti,,811,La maison,,gracq julien -,La maison gracq julien - 
812,Agnus dei : roman /,"Sansonnens, Julien",9782889563449; 2889563448,Editions de l'Aire,Roman psychologique; Roman suisse de langue française,812,Agnus dei : roman,roman psychologique suisse langue française,sansonnens julien,Agnus dei : roman sansonnens julien roman psychologique suisse langue française
813,Les immuables /,"Chevalley, Guy",9782940518760; 2940518769,Editions d'autre part,Nouvelles suisses de langue française,813,Les immuables,nouvelles suisses langue française,chevalley guy,Les immuables chevalley guy nouvelles suisses langue française
814,La maison de la faim /,"Marechera, Dambudzo",9782889072743; 2889072746,Editions Zoé,,814,La maison de la faim,,marechera dambudzo,La maison de la faim marechera dambudzo 
815,Je pense à votre destin : André Malraux et Josette Clotis - 1933-1944 ; suivi d'Inédits d'André Malraux /,"Theillou, Françoise 194.-....",9782246833598; 2246833590,Grasset,"Malraux, André; Clotis, Josette; Biographie",815,Je pense à votre destin : André Malraux et Josette Clotis - 1933-1944 ; suivi d'Inédits d'André Malraux,malraux andré clotis josette biographie,theillou françoise -,Je pense à votre destin : André Malraux et Josette Clotis - 1933-1944 ; suivi d'Inédits d'André Malraux theillou françoise - malraux andré clotis josette biographie
816,L'allègement des vernis : roman /,"Saint Bris, Paul",2848769882; 9782848769882,Editions Philippe Rey,,816,L'allègement des vernis : roman,,saint bris paul,L'allègement des vernis : roman saint bris paul 
817,Mon sous-marin jaune /,Jón Kalman Stefánsson,9782267050288; 2267050285,Christian Bourgois Editeur,Roman,817,Mon sous-marin jaune,roman,jón kalman stefánsson,Mon sous-marin jaune jón kalman stefánsson roman
818,Le cimetière de la mer : roman /,"Nore, Aslak 1978-...",9782493206237; 2493206231,Le Bruit du monde,,818,Le cimetière de la mer : roman,,nore aslak -,Le cimetière de la mer : roman nore aslak - 
819,Le passant du Bowery /,"Ghys, Clément",9782021505177; 2021505170,Seuil,,819,Le passant du Bowery,,ghys clément,Le passant du Bowery ghys clément 
820,Bleu Bacon /,"Haenel, Yannick 1967-....",9782234088504; 223408850X,Stock,,820,Bleu Bacon,,haenel yannick -,Bleu Bacon haenel yannick - 
821,Les yeux de Mona : roman /,"Schlesser, Thomas 1977-....",9782226487162; 2226487166,Albin Michel,Roman français; Art; Roman,821,Les yeux de Mona : roman,roman français art,schlesser thomas -,Les yeux de Mona : roman schlesser thomas - roman français art
822,Un endroit inconvénient /,"Littell, Jonathan 1967-....",2073036848; 9782073036841,Gallimard,Massacre de Babi Yar (1941); Massacres--Ukraine--2000-....; Shoah--Ukraine; Guerre russo-ukrainienne (2022-....),822,Un endroit inconvénient,massacre babi yar massacres--ukraine--- shoah--ukraine guerre russo-ukrainienne -,littell jonathan -,Un endroit inconvénient littell jonathan - massacre babi yar massacres--ukraine--- shoah--ukraine guerre russo-ukrainienne -
823,Liminal : les nouveaux espaces de l'angoisse /,"Boëton, Quentin 1980?-....",9782073033833; 2073033830,Hoëbeke,Lieux imaginaires--Dans l'art; Lieux imaginaires--Dans les jeux vidéo; Angoisse--Dans l'art; Angoisse--Dans les jeux vidéo,823,Liminal : les nouveaux espaces de l'angoisse,lieux imaginaires--dans lart jeux vidéo angoisse--dans,boëton quentin -,Liminal : les nouveaux espaces de l'angoisse boëton quentin - lieux imaginaires--dans lart jeux vidéo angoisse--dans
824,Dans le ventre de Klara : roman /,"Jauffret, Régis",9782385770570; 2385770571,Récamier,"Roman psychologique; Roman français; Hitler, Adolf",824,Dans le ventre de Klara : roman,roman psychologique français hitler adolf,jauffret régis,Dans le ventre de Klara : roman jauffret régis roman psychologique français hitler adolf
825,Le carton de mon père : réflexions sur l'héritage /,"Bärfuss, Lukas 1971-....",9782889073481; 2889073483,Zoé,,825,Le carton de mon père : réflexions sur l'héritage,,bärfuss lukas -,Le carton de mon père : réflexions sur l'héritage bärfuss lukas - 
826,L'inconnue du portrait : roman /,"Peretti, Camille de",9782702185179; 2702185177,Calmann-Lévy,"Klimt, Gustav; Roman français",826,L'inconnue du portrait : roman,klimt gustav roman français,peretti camille,L'inconnue du portrait : roman peretti camille klimt gustav roman français
827,La fantaisie des dieux : Rwanda 1994 /,"Saint-Exupéry, Patrick de",9782352043201; 2352043204,Les Arènes,Bandes dessinées,827,La fantaisie des dieux : Rwanda 1994,bandes dessinées,saint-exupéry patrick,La fantaisie des dieux : Rwanda 1994 saint-exupéry patrick bandes dessinées
828,Une singularité : roman /,"Hauser, Bastien",9782330189518; 2330189516,Actes sud,,828,Une singularité : roman,,hauser bastien,Une singularité : roman hauser bastien 
829,Ainsi pleurent nos hommes : roman /,"Celis, Dominique",9782848769592; 2848769599,Philippe Rey,,829,Ainsi pleurent nos hommes : roman,,celis dominique,Ainsi pleurent nos hommes : roman celis dominique 
